net,length_um
net4,168.72
net1,166.64
net9,150.18
net2,149.98
clk,148.39
net16,148.34
net5,147.3
net12,142.16
net8,139.78
net6,139.22
net7,136.5
net10,135.3
net17,134.34
net14,132.36
net3,128.86
net15,128.04
net13,126.12
net11,124.5
_020_,92
clknet_1_0__leaf_clk,60.58
_030_,56.82
_024_,46.48
clknet_1_1__leaf_clk,40.92
_017_,40.68
_037_,26.78
_043_,25.3
clknet_0_clk,23.72
_035_,17.74
_013_,17.045
_028_,17.02
_027_,15.94
_039_,14.66
_036_,14.64
net18,14.56
_045_,14.38
_021_,13.46
net22,12.88
_042_,12.64
_023_,12.12
_044_,11.54
_046_,10.91
count[13],10.32
_031_,10.28
net20,9.98
net29,9.98
_026_,9.96
_029_,9.86
count[10],9.86
count[12],9.86
net24,9.86
_003_,9.825
_018_,9.78
_011_,9.585
_019_,9.58
_041_,9.44
_008_,9.145
count[14],8.94
_010_,8.785
count[0],8.5
count[1],8.5
count[2],8.5
count[3],8.5
count[4],8.5
net25,8.16
_047_,7.94
count[9],7.57
_016_,7.26
net21,7.22
net27,6.72
_022_,6.66
_025_,6.6
count[7],6.55
_005_,6.185
_001_,6.08
_004_,6.08
_000_,5.805
count[11],5.75
_007_,5.645
_006_,5.58
count[5],5.53
_032_,5.28
count[8],5.19
count[15],5.07
net19,5.06
rst,4.95
count[6],4.85
_033_,4.82
_015_,4.7
net23,3.56
_014_,3.045
net28,2.62
_002_,2.585
_038_,2.5
_040_,2.3
net26,2.16
_009_,2.125
_012_,2.025
net30,1.84
_034_,1.26
